Wed Apr 02 00:27:14 2025


Number of Points = 4490

Depth (nm)	Load (µN)	Time (s)	Disp. Voltage(V)	Force Voltage(V)
33.699916	1685.348392	1.681613	-0.005602	2.148926
33.708165	1690.302788	1.686618	-0.005604	2.151952
33.815147	1695.258331	1.691622	-0.005630	2.154994
33.796104	1700.500190	1.696627	-0.005625	2.158181
33.909719	1705.449287	1.701632	-0.005653	2.161212
34.001680	1710.339388	1.706637	-0.005675	2.164199
34.138448	1715.358541	1.711642	-0.005708	2.167268
34.149656	1720.393027	1.716646	-0.005710	2.170318
34.300831	1725.255433	1.721651	-0.005747	2.173287
34.334726	1730.450772	1.726656	-0.005755	2.176429
34.370485	1735.614424	1.731661	-0.005764	2.179549
34.388439	1740.516199	1.736666	-0.005768	2.182502
34.471423	1745.520428	1.741670	-0.005788	2.185527
34.507408	1750.592714	1.746675	-0.005797	2.188578
34.545540	1755.517921	1.751680	-0.005806	2.191538
34.651510	1760.473453	1.756685	-0.005832	2.194525
34.595320	1765.689888	1.761690	-0.005818	2.197632
34.744008	1770.650700	1.766694	-0.005854	2.200622
34.797677	1775.542527	1.771699	-0.005867	2.203549
34.920984	1780.592800	1.776704	-0.005897	2.206579
35.016153	1785.616390	1.781709	-0.005919	2.209584
35.037132	1790.511214	1.786714	-0.005925	2.212494
35.251020	1795.570024	1.791718	-0.005976	2.215535
35.291398	1800.798647	1.796723	-0.005986	2.218638
35.478217	1805.667354	1.801728	-0.006031	2.221553
35.477424	1810.647665	1.806733	-0.006030	2.224494
35.413054	1815.750985	1.811738	-0.006015	2.227491
35.472615	1820.726156	1.816742	-0.006030	2.230432
35.657737	1825.575778	1.821747	-0.006074	2.233320
35.634566	1830.752965	1.826752	-0.006069	2.236356
35.734967	1835.848046	1.831757	-0.006093	2.239364
35.810662	1840.696452	1.836762	-0.006111	2.242219
35.913764	1845.729393	1.841766	-0.006136	2.245183
35.978873	1850.786374	1.846771	-0.006152	2.248150
35.971316	1855.748476	1.851776	-0.006150	2.251044
35.910680	1860.739404	1.856781	-0.006135	2.253941
36.090910	1866.011038	1.861786	-0.006179	2.257043
36.147995	1871.021414	1.866790	-0.006193	2.259966
36.338505	1875.849041	1.871795	-0.006238	2.262804
36.266383	1880.943988	1.876800	-0.006221	2.265744
36.342850	1885.955688	1.881805	-0.006240	2.268660
36.358108	1890.869559	1.886810	-0.006243	2.271504
36.398792	1895.886910	1.891814	-0.006253	2.274409
36.768578	1900.984389	1.896819	-0.006342	2.277418
36.654539	1906.006214	1.901824	-0.006315	2.280290
36.792235	1910.890881	1.906829	-0.006348	2.283125
36.808901	1915.956406	1.911834	-0.006352	2.286039
36.929102	1920.985171	1.916838	-0.006381	2.288947
37.075234	1925.830062	1.921843	-0.006416	2.291750
36.993230	1930.956448	1.926848	-0.006396	2.294670
37.192880	1936.136636	1.931853	-0.006444	2.297667
37.217815	1941.127905	1.936858	-0.006450	2.300522
37.115276	1946.097382	1.941862	-0.006426	2.303337
37.245596	1951.096376	1.946867	-0.006457	2.306208
37.215408	1956.158432	1.951872	-0.006450	2.309082
37.292890	1961.004911	1.956877	-0.006469	2.311849
37.317490	1966.128171	1.961882	-0.006475	2.314761
37.576827	1971.206732	1.966886	-0.006537	2.317686
37.672205	1976.129465	1.971891	-0.006560	2.320489
37.690890	1981.085138	1.976896	-0.006565	2.323294
37.654015	1986.183727	1.981901	-0.006556	2.326167
37.891243	1991.185252	1.986906	-0.006613	2.329030
37.981235	1996.036694	1.991910	-0.006634	2.331778
37.954831	2001.215782	1.996915	-0.006628	2.334687
37.883217	2006.480732	2.001920	-0.006611	2.337633
38.042352	2011.381403	2.006925	-0.006650	2.340411
37.987084	2016.319061	2.011930	-0.006636	2.343169
38.071752	2021.364794	2.016934	-0.006657	2.346009
38.232691	2026.360081	2.021939	-0.006695	2.348831
38.275027	2031.224336	2.026944	-0.006706	2.351555
38.325124	2036.304850	2.031949	-0.006718	2.354398
38.431868	2041.482899	2.036954	-0.006744	2.357302
38.461046	2046.430410	2.041958	-0.006751	2.360061
38.504012	2051.369524	2.046963	-0.006761	2.362814
38.578076	2056.418787	2.051968	-0.006779	2.365630
38.659641	2061.455403	2.056973	-0.006799	2.368437
38.639493	2066.369780	2.061978	-0.006794	2.371156
38.685364	2071.414852	2.066982	-0.006805	2.373955
38.730304	2076.698534	2.071987	-0.006816	2.376883
38.798254	2081.676140	2.076992	-0.006832	2.379642
38.925283	2086.502935	2.081997	-0.006863	2.382325
38.999769	2091.564556	2.087002	-0.006881	2.385125
39.053026	2096.587755	2.092006	-0.006894	2.387897
39.219869	2101.468416	2.097011	-0.006934	2.390607
39.075893	2106.536393	2.102016	-0.006899	2.393363
39.202048	2111.719319	2.107021	-0.006930	2.396226
39.391049	2116.740658	2.112026	-0.006975	2.399007
39.370125	2121.607841	2.117030	-0.006970	2.401665
39.444690	2126.654210	2.122035	-0.006988	2.404434
39.464385	2131.717694	2.127040	-0.006993	2.407200
39.808836	2136.554195	2.132045	-0.007076	2.409895
39.682499	2141.579030	2.137050	-0.007045	2.412609
39.738091	2146.789248	2.142054	-0.007059	2.415451
39.712021	2151.911652	2.147059	-0.007053	2.418229
39.930817	2156.720351	2.152064	-0.007105	2.420874
39.974298	2161.744804	2.157069	-0.007116	2.423605
40.096924	2166.792538	2.162074	-0.007145	2.426358
40.127588	2171.764564	2.167078	-0.007153	2.429051
40.172554	2176.675757	2.172083	-0.007164	2.431711
40.323883	2181.778767	2.177088	-0.007200	2.434489
40.407149	2186.908144	2.182093	-0.007220	2.437267
40.466990	2191.831967	2.187098	-0.007235	2.439927
40.430616	2196.816572	2.192102	-0.007226	2.442601
40.524093	2201.871566	2.197107	-0.007248	2.445332
40.675660	2206.889070	2.202112	-0.007285	2.448049
40.680136	2211.732037	2.207117	-0.007286	2.450645
40.754212	2216.811646	2.212122	-0.007304	2.453376
40.810424	2222.087141	2.217126	-0.007317	2.456206
40.898306	2227.090128	2.222131	-0.007339	2.458893
40.944751	2231.964315	2.227136	-0.007350	2.461501
41.033107	2237.001771	2.232141	-0.007371	2.464200
41.004358	2242.094792	2.237146	-0.007364	2.466907
41.121743	2246.990737	2.242150	-0.007393	2.469530
41.234144	2251.924671	2.247155	-0.007420	2.472169
41.403980	2257.065928	2.252160	-0.007460	2.474925
41.309788	2262.218255	2.257165	-0.007438	2.477641
41.437968	2267.073994	2.262170	-0.007469	2.480233
41.454098	2272.092256	2.267174	-0.007473	2.482890
41.492264	2277.148959	2.272179	-0.007482	2.485568
41.649526	2282.115260	2.277184	-0.007520	2.488214
41.689325	2286.922567	2.282189	-0.007530	2.490755
41.779545	2292.050975	2.287194	-0.007551	2.493471
41.724064	2297.351341	2.292198	-0.007538	2.496250
41.809873	2302.339165	2.297203	-0.007559	2.498886
41.948712	2307.195086	2.302208	-0.007592	2.501457
41.985285	2312.257509	2.307213	-0.007601	2.504118
42.012087	2317.323592	2.312218	-0.007608	2.506776
41.909621	2322.279289	2.317222	-0.007583	2.509353
42.025563	2327.199635	2.322227	-0.007611	2.511944
42.196299	2332.384214	2.327232	-0.007652	2.514679
42.240624	2337.456134	2.332237	-0.007663	2.517332
42.336412	2342.347002	2.337242	-0.007686	2.519896
42.344074	2347.343619	2.342246	-0.007688	2.522498
42.426765	2352.400018	2.347251	-0.007708	2.525141
42.574036	2357.427404	2.352256	-0.007743	2.527776
42.513849	2362.304423	2.357261	-0.007729	2.530298
42.519248	2367.395591	2.362266	-0.007730	2.532938
42.668088	2372.656251	2.367270	-0.007766	2.535686
42.791528	2377.645547	2.372275	-0.007796	2.538287
42.833882	2382.509370	2.377280	-0.007806	2.540807
42.820129	2387.572868	2.382285	-0.007803	2.543419
42.971135	2392.614499	2.387290	-0.007839	2.546044
43.045345	2397.569545	2.392294	-0.007857	2.548608
43.055558	2402.519859	2.397299	-0.007860	2.551158
43.168399	2407.623709	2.402304	-0.007887	2.553800
43.156541	2412.776976	2.407309	-0.007884	2.556445
43.190711	2417.748267	2.412314	-0.007892	2.559001
43.260727	2422.660843	2.417318	-0.007909	2.561531
43.294276	2427.760881	2.422323	-0.007917	2.564148
43.382397	2432.806985	2.427328	-0.007939	2.566743
43.434523	2437.701820	2.432333	-0.007951	2.569253
43.502719	2442.673320	2.437338	-0.007968	2.571802
43.454282	2447.965344	2.442342	-0.007956	2.574493
43.558307	2452.944968	2.447347	-0.007981	2.577047
43.705538	2457.784757	2.452352	-0.008017	2.579533
43.718163	2462.742615	2.457357	-0.008020	2.582057
44.090625	2467.738920	2.462362	-0.008109	2.584653
43.901278	2472.857602	2.467366	-0.008064	2.587221
43.974507	2477.683944	2.472371	-0.008081	2.589680
44.016101	2482.708621	2.477376	-0.008091	2.592231
